新聞,#genre#
影迷數位紀實,http://4gtv.mumi.rip:9877/212/4gtv-live023/index.m3u8
龍華電影,http://4gtv.mumi.rip:9877/121/litv-longturn03/index.m3u8
靖天映畫,http://4gtv.mumi.rip:9877/42/4gtv-4gtv055/index.m3u8
靖天電影,http://4gtv.mumi.rip:9877/82/4gtv-4gtv061/index.m3u8
ROCK Action,http://4gtv.mumi.rip:9877/180/4gtv-live138/index.m3u8
amc 電影,http://4gtv.mumi.rip:9877/39/4gtv-4gtv017/index.m3u8
HITS,http://4gtv.mumi.rip:9877/186/4gtv-live620/index.m3u8
CinemaWorld,http://4gtv.mumi.rip:9877/225/4gtv-live069/index.m3u8
采昌影劇,http://4gtv.mumi.rip:9877/25/4gtv-4gtv049/index.m3u8
影迷數位電影,http://4gtv.mumi.rip:9877/40/4gtv-4gtv011/index.m3u8
My Cinema Europe HD 我的歐洲電影,http://4gtv.mumi.rip:9877/176/4gtv-live157/index.m3u8

戲劇,#genre#
龍華戲劇,http://4gtv.mumi.rip:9877/23/litv-longturn18/index.m3u8
龍華偶像,http://4gtv.mumi.rip:9877/296/litv-longturn12/index.m3u8
靖天戲劇,http://4gtv.mumi.rip:9877/116/4gtv-4gtv058/index.m3u8
靖洋戲劇,http://4gtv.mumi.rip:9877/118/4gtv-4gtv045/index.m3u8
TVBS 台戲,http://4gtv.mumi.rip:9877/285/4gtv-live088/index.m3u8
公視戲劇,http://4gtv.mumi.rip:9877/7/4gtv-4gtv042/index.m3u8
民視影劇,http://4gtv.mumi.rip:9877/24/litv-ftv09/index.m3u8
龍華日韓,http://4gtv.mumi.rip:9877/28/litv-longturn11/index.m3u8

音樂,#genre#
MTV Live HD,http://4gtv.mumi.rip:9877/213/4gtv-live025/index.m3u8
Mezzo Live HD,http://4gtv.mumi.rip:9877/79/4gtv-4gtv083/index.m3u8
TRACE Urban,http://4gtv.mumi.rip:9877/78/4gtv-4gtv082/index.m3u8
CLASSICA 古典樂,http://4gtv.mumi.rip:9877/80/4gtv-4gtv059/index.m3u8
CMusic 電影原聲,http://4gtv.mumi.rip:9877/218/4gtv-live031/index.m3u8
fun 探索娛樂,http://4gtv.mumi.rip:9877/274/4gtv-live011/index.m3u8

四季線上,#genre#
兒童卡通,http://4gtv.mumi.rip:9877/269/4gtv-live009/index.m3u8 
花系列 經典劇場,http://4gtv.mumi.rip:9877/279/4gtv-live016/index.m3u8 
超人力霸王整套看,http://4gtv.mumi.rip:9877/278/4gtv-live015/index.m3u8 
經典卡通,http://4gtv.mumi.rip:9877/202/4gtv-live022/index.m3u8 
經典電影,http://4gtv.mumi.rip:9877/201/4gtv-live021/index.m3u8 
電影免費看2,http://4gtv.mumi.rip:9877/245/4gtv-live005/index.m3u8 
精選動漫,http://4gtv.mumi.rip:9877/204/4gtv-live024/index.m3u8 
戲劇免費看1,http://4gtv.mumi.rip:9877/270/4gtv-live010/index.m3u8 
戲劇免費看2,http://4gtv.mumi.rip:9877/244/4gtv-live006/index.m3u8

香港,#genre#
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
Viu TV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn

Muse木棉花,#genre#
中華一番！,https://www.youtube.com/watch?v=2FJcu6qsM2k
我們這一家,https://www.youtube.com/watch?v=UK81GCw1KE8
蠟筆小新TV版,https://www.youtube.com/watch?v=_jP5o1W3eW0

綜藝,#genre#
ALL THE K-POP,https://www.youtube.com/watch?v=G3NX_hzCuFM
THE K-POP,https://www.youtube.com/watch?v=JVocS7Yftw8
沒玩沒了,https://www.youtube.com/watch?v=HGzIAC5pWr4
飢餓遊戲,https://www.youtube.com/watch?v=A98LJq71BZg
萬秀豬王,https://www.youtube.com/watch?v=ADDSmXoPDY8
綜藝大熱門,https://www.youtube.com/watch?v=-L9cBf3oAO0
豬哥會社,https://www.youtube.com/watch?v=0aBJU1mFpsk
現代嘉慶君,https://www.youtube.com/watch?v=IsFtLpSuf_g
台灣啟示錄,https://www.youtube.com/watch?v=PFeFPjqVi3g

台劇,#genre#
1989一念間,https://www.youtube.com/watch?v=AYNsSaIX3fo
小資女孩向前衝,https://www.youtube.com/watch?v=nrdq4Xskufc
我的老師叫小賀,https://www.youtube.com/watch?v=6CQZxYpW9q4
神機妙算劉伯溫,https://www.youtube.com/watch?v=9GZNsvhmPXo
梅花烙,https://www.youtube.com/watch?v=jkF7cseHZ5s
終極三部曲,https://www.youtube.com/watch?v=Rqgc4mM5A3Y
廉政英雄,https://www.youtube.com/watch?v=b35xJXmJ-8I
新兵日記&特戰英雄,https://www.youtube.com/watch?v=032kEdR9Lic
濟公,https://www.youtube.com/watch?v=oiFivtD5pRE
藍色水玲瓏,https://www.youtube.com/watch?v=rTcTVZBZtYs

外劇,#genre#
三國,https://www.youtube.com/watch?v=Njvo1ce2v90
去有風的地方,https://www.youtube.com/watch?v=be6L9zpVqw4
知否知否應是綠肥紅瘦,https://www.youtube.com/watch?v=hcxLMIfxi0A
羋月傳,https://www.youtube.com/watch?v=Wo0nJ-keKVw
軍師聯盟&虎嘯龍吟,https://www.youtube.com/watch?v=AprAcD2oqI8
神鵰俠侶,https://www.youtube.com/watch?v=Vu_eDZF3PXU
琅琊榜,https://www.youtube.com/watch?v=u1uU2AzsD0k

食旅,#genre#
【非凡大探索】台北美食篇,https://www.youtube.com/watch?v=VN8MJJ5QfHs
【非凡大探索】台中美食篇,https://www.youtube.com/watch?v=A-kHs92gmO8
【非凡大探索】高雄美食篇,https://www.youtube.com/watch?v=tOXkcx18aBY
MIT台灣誌,https://www.youtube.com/watch?v=jgn5KR-Kqrc
大陸尋奇,https://www.youtube.com/watch?v=OVdLUlVHFMI
